subid,goal,trial,item,positivity,utterance,judgment
anon-0,social,1,cookie,pos,bad,2
anon-0,both,2,cake,neg,good,2
anon-0,no_goal,3,review,pos,amazing,2
anon-0,informative,4,painting,pos,good,2
anon-0,no_goal,5,film,pos,good,1
anon-0,informative,6,solo,neg,good,2
anon-0,both,7,film,pos,terrible,2
anon-0,no_goal,8,monologue,neg,good,2
anon-0,informative,9,monologue,pos,okay,2
anon-0,no_goal,10,app,neg,okay,1
anon-0,both,11,app,pos,amazing,4
anon-0,both,12,dance,pos,good,3
anon-0,no_goal,13,song,neg,terrible,3
anon-0,both,14,poem,neg,amazing,1
anon-0,informative,15,recital,neg,amazing,3
anon-0,informative,16,app,pos,bad,1
anon-0,social,17,review,neg,good,2
anon-0,informative,18,cake,neg,terrible,3
anon-0,no_goal,19,presentation,pos,terrible,1
anon-0,informative,20,poem,neg,bad,3
anon-0,no_goal,21,dance,neg,bad,3
anon-0,informative,22,presentation,neg,okay,2
anon-0,social,23,film,neg,okay,1
anon-0,both,24,painting,neg,bad,2
anon-0,no_goal,25,solo,pos,bad,2
anon-0,no_goal,26,recital,pos,okay,3
anon-0,social,27,cake,pos,okay,3
anon-0,social,28,recital,neg,bad,3
anon-0,social,29,painting,pos,terrible,2
anon-0,social,30,song,neg,amazing,1
anon-0,informative,31,cookie,pos,amazing,4
anon-0,both,32,song,pos,okay,3
anon-0,both,33,review,pos,bad,2
anon-0,both,34,cookie,neg,okay,2
anon-0,informative,35,dance,pos,terrible,1
anon-0,both,36,monologue,neg,terrible,3
anon-0,social,37,poem,pos,good,3
anon-0,social,38,presentation,pos,amazing,5
anon-0,social,39,solo,neg,terrible,3
anon-0,no_goal,40,painting,neg,amazing,1
anon-1,social,1,film,pos,good,3
anon-1,no_goal,2,app,neg,good,1
anon-1,informative,3,monologue,neg,good,1
anon-1,informative,4,film,neg,bad,3
anon-1,both,5,cake,pos,terrible,1
anon-1,social,6,solo,neg,amazing,2
anon-1,informative,7,recital,neg,amazing,3
anon-1,both,8,painting,pos,good,4
anon-1,informative,9,painting,pos,terrible,1
anon-1,both,10,film,neg,amazing,2
anon-1,no_goal,11,monologue,pos,bad,1
anon-1,informative,12,presentation,neg,okay,2
anon-1,social,13,presentation,pos,amazing,4
anon-1,informative,14,cookie,pos,bad,1
anon-1,both,15,poem,neg,good,2
anon-1,both,16,cookie,pos,amazing,4
anon-1,informative,17,review,pos,good,4
anon-1,social,18,song,pos,bad,1
anon-1,social,19,review,pos,terrible,3
anon-1,both,20,solo,pos,okay,2
anon-1,no_goal,21,review,neg,amazing,3
anon-1,no_goal,22,dance,pos,amazing,5
anon-1,no_goal,23,painting,neg,bad,3
anon-1,informative,24,app,pos,okay,2
anon-1,both,25,song,neg,okay,2
anon-1,no_goal,26,cookie,neg,okay,2
anon-1,informative,27,poem,neg,terrible,2
anon-1,informative,28,song,pos,amazing,4
anon-1,no_goal,29,solo,neg,terrible,1
anon-1,social,30,recital,neg,bad,2
anon-1,both,31,dance,pos,bad,1
anon-1,both,32,review,neg,bad,3
anon-1,social,33,cake,neg,okay,2
anon-1,social,34,dance,neg,good,2
anon-1,social,35,monologue,neg,terrible,3
anon-1,no_goal,36,recital,pos,okay,3
anon-1,no_goal,37,presentation,pos,terrible,1
anon-1,both,38,app,neg,terrible,3
anon-1,no_goal,39,cake,pos,good,4
anon-1,social,40,poem,pos,okay,3
anon-10,both,1,recital,pos,okay,2
anon-10,social,2,app,neg,terrible,2
anon-10,social,3,painting,neg,bad,3
anon-10,social,4,film,pos,bad,1
anon-10,no_goal,5,solo,pos,good,4
anon-10,social,6,recital,neg,amazing,1
anon-10,no_goal,7,cake,pos,terrible,1
anon-10,informative,8,poem,neg,bad,3
anon-10,no_goal,9,recital,neg,terrible,3
anon-10,both,10,presentation,pos,bad,1
anon-10,both,11,cookie,neg,terrible,2
anon-10,social,12,monologue,pos,terrible,1
anon-10,informative,13,dance,pos,terrible,1
anon-10,no_goal,14,cookie,neg,good,1
anon-10,both,15,poem,neg,amazing,2
anon-10,no_goal,16,app,pos,bad,1
anon-10,social,17,cake,pos,amazing,5
anon-10,both,18,review,pos,amazing,5
anon-10,social,19,solo,neg,okay,1
anon-10,social,20,song,pos,okay,3
anon-10,informative,21,film,pos,amazing,5
anon-10,no_goal,22,review,neg,okay,1
anon-10,no_goal,23,dance,neg,bad,3
anon-10,both,24,monologue,neg,bad,3
anon-10,social,25,presentation,neg,good,1
anon-10,informative,26,monologue,pos,good,3
anon-10,informative,27,cookie,pos,okay,2
anon-10,no_goal,28,monologue,neg,amazing,2
anon-10,informative,29,painting,neg,amazing,2
anon-10,informative,30,song,neg,terrible,2
anon-10,informative,31,review,pos,bad,1
anon-10,both,32,song,neg,good,1
anon-10,both,33,film,neg,okay,1
anon-10,informative,34,cake,neg,okay,1
anon-10,informative,35,app,neg,good,1
anon-10,social,36,poem,pos,good,4
anon-10,both,37,dance,pos,good,4
anon-10,both,38,solo,pos,terrible,1
anon-10,no_goal,39,presentation,pos,amazing,4
anon-10,no_goal,40,painting,pos,okay,2
anon-11,informative,1,painting,neg,okay,2
anon-11,no_goal,2,app,neg,good,2
anon-11,both,3,cookie,neg,bad,3
anon-11,informative,4,presentation,neg,good,2
anon-11,informative,5,cookie,pos,good,4
anon-11,no_goal,6,film,neg,okay,2
anon-11,social,7,presentation,neg,terrible,2
anon-11,informative,8,app,pos,okay,4
anon-11,informative,9,dance,neg,terrible,2
anon-11,both,10,poem,pos,okay,3
anon-11,informative,11,film,pos,bad,1
anon-11,social,12,cookie,pos,terrible,3
anon-11,social,13,recital,neg,bad,2
anon-11,social,14,solo,pos,bad,1
anon-11,both,15,app,neg,terrible,2
anon-11,no_goal,16,cookie,neg,amazing,2
anon-11,social,17,painting,pos,amazing,5
anon-11,both,18,song,pos,terrible,1
anon-11,both,19,solo,neg,okay,1
anon-11,no_goal,20,song,pos,good,3
anon-11,social,21,cake,neg,good,1
anon-11,social,22,poem,neg,amazing,1
anon-11,no_goal,23,review,neg,bad,2
anon-11,both,24,dance,neg,good,1
anon-11,social,25,monologue,pos,good,3
anon-11,informative,26,recital,neg,amazing,1
anon-11,both,27,monologue,neg,amazing,1
anon-11,informative,28,solo,pos,amazing,5
anon-11,informative,29,monologue,neg,bad,2
anon-11,no_goal,30,poem,neg,terrible,2
anon-11,social,31,song,neg,okay,1
anon-11,social,32,dance,pos,okay,3
anon-11,both,33,review,pos,good,4
anon-11,informative,34,review,pos,terrible,1
anon-11,no_goal,35,recital,pos,okay,3
anon-11,no_goal,36,painting,pos,terrible,1
anon-11,both,37,cake,pos,bad,1
anon-11,no_goal,38,cake,pos,amazing,5
anon-11,both,39,film,pos,amazing,5
anon-11,no_goal,40,presentation,pos,bad,1
anon-12,informative,1,monologue,neg,bad,2
anon-12,informative,2,film,neg,good,4
anon-12,social,3,app,neg,bad,2
anon-12,both,4,presentation,pos,bad,2
anon-12,informative,5,dance,neg,okay,1
anon-12,social,6,monologue,pos,good,2
anon-12,both,7,cake,pos,good,2
anon-12,both,8,poem,neg,okay,1
anon-12,informative,9,cake,pos,terrible,1
anon-12,both,10,review,pos,okay,2
anon-12,no_goal,11,painting,pos,good,2
anon-12,social,12,presentation,neg,good,1
anon-12,informative,13,poem,pos,amazing,5
anon-12,social,14,film,neg,terrible,1
anon-12,no_goal,15,app,pos,okay,2
anon-12,no_goal,16,solo,neg,amazing,5
anon-12,social,17,poem,pos,bad,1
anon-12,no_goal,18,film,pos,bad,1
anon-12,no_goal,19,presentation,pos,amazing,5
anon-12,both,20,solo,neg,bad,2
anon-12,social,21,review,neg,amazing,5
anon-12,both,22,song,neg,good,4
anon-12,informative,23,app,neg,amazing,5
anon-12,both,24,painting,pos,terrible,1
anon-12,social,25,solo,pos,terrible,1
anon-12,no_goal,26,dance,pos,terrible,1
anon-12,informative,27,solo,pos,good,4
anon-12,informative,28,recital,pos,okay,2
anon-12,no_goal,29,review,neg,terrible,1
anon-12,informative,30,song,neg,terrible,1
anon-12,informative,31,cookie,pos,bad,1
anon-12,social,32,song,pos,okay,3
anon-12,social,33,dance,pos,amazing,5
anon-12,no_goal,34,cookie,neg,okay,4
anon-12,no_goal,35,recital,neg,good,1
anon-12,both,36,recital,neg,terrible,1
anon-12,both,37,cookie,pos,amazing,5
anon-12,no_goal,38,cake,neg,bad,1
anon-12,both,39,monologue,neg,amazing,5
anon-12,social,40,painting,neg,okay,1
anon-13,informative,1,cake,pos,bad,1
anon-13,social,2,song,pos,okay,2
anon-13,both,3,review,pos,terrible,1
anon-13,informative,4,recital,pos,good,5
anon-13,social,5,presentation,neg,good,1
anon-13,both,6,app,neg,terrible,2
anon-13,both,7,poem,neg,amazing,2
anon-13,informative,8,poem,neg,bad,3
anon-13,both,9,song,neg,good,2
anon-13,informative,10,app,pos,okay,3
anon-13,no_goal,11,presentation,pos,amazing,4
anon-13,informative,12,cookie,neg,amazing,2
anon-13,informative,13,song,neg,terrible,2
anon-13,informative,14,monologue,pos,amazing,5
anon-13,no_goal,15,cookie,pos,okay,2
anon-13,both,16,dance,pos,good,4
anon-13,informative,17,solo,neg,good,2
anon-13,no_goal,18,cake,neg,okay,2
anon-13,no_goal,19,solo,pos,bad,1
anon-13,informative,20,dance,pos,terrible,1
anon-13,social,21,cookie,neg,bad,1
anon-13,no_goal,22,recital,neg,amazing,2
anon-13,both,23,monologue,neg,okay,2
anon-13,informative,24,film,neg,okay,1
anon-13,both,25,recital,neg,bad,2
anon-13,no_goal,26,painting,neg,terrible,2
anon-13,social,27,monologue,pos,bad,1
anon-13,no_goal,28,app,neg,good,1
anon-13,both,29,presentation,pos,bad,1
anon-13,social,30,poem,pos,good,3
anon-13,both,31,cake,pos,amazing,5
anon-13,social,32,solo,neg,terrible,3
anon-13,no_goal,33,review,pos,good,4
anon-13,social,34,review,neg,okay,2
anon-13,no_goal,35,film,pos,terrible,1
anon-13,no_goal,36,dance,neg,bad,2
anon-13,both,37,painting,pos,okay,3
anon-13,social,38,film,pos,amazing,4
anon-13,social,39,painting,neg,amazing,3
anon-13,social,40,recital,pos,terrible,2
anon-14,social,1,app,neg,terrible,2
anon-14,no_goal,2,solo,neg,good,1
anon-14,both,3,poem,pos,amazing,3
anon-14,social,4,monologue,neg,bad,2
anon-14,social,5,painting,neg,okay,1
anon-14,both,6,painting,pos,terrible,1
anon-14,both,7,presentation,neg,good,1
anon-14,informative,8,app,neg,good,1
anon-14,social,9,review,pos,terrible,1
anon-14,social,10,film,pos,bad,1
anon-14,social,11,recital,neg,good,1
anon-14,no_goal,12,poem,neg,okay,1
anon-14,both,13,review,neg,bad,3
anon-14,both,14,dance,neg,amazing,2
anon-14,social,15,cake,pos,amazing,4
anon-14,social,16,song,neg,amazing,2
anon-14,informative,17,film,pos,amazing,5
anon-14,informative,18,cake,neg,okay,1
anon-14,social,19,presentation,pos,okay,2
anon-14,no_goal,20,cake,pos,terrible,1
anon-14,no_goal,21,recital,pos,amazing,4
anon-14,no_goal,22,cookie,neg,bad,1
anon-14,no_goal,23,song,neg,terrible,1
anon-14,both,24,recital,pos,bad,1
anon-14,no_goal,25,painting,pos,good,3
anon-14,informative,26,poem,pos,bad,1
anon-14,no_goal,27,monologue,pos,okay,2
anon-14,both,28,cookie,pos,good,3
anon-14,informative,29,monologue,neg,amazing,2
anon-14,no_goal,30,review,neg,amazing,1
anon-14,both,31,film,neg,okay,1
anon-14,informative,32,presentation,neg,terrible,3
anon-14,informative,33,cookie,pos,terrible,1
anon-14,both,34,solo,neg,terrible,3
anon-14,no_goal,35,app,pos,bad,1
anon-14,informative,36,review,pos,good,4
anon-14,informative,37,dance,neg,bad,2
anon-14,both,38,song,pos,okay,3
anon-14,social,39,dance,pos,good,3
anon-14,informative,40,solo,pos,okay,3
anon-15,social,1,song,pos,good,3
anon-15,informative,2,dance,pos,terrible,1
anon-15,social,3,solo,neg,okay,2
anon-15,informative,4,film,pos,okay,3
anon-15,social,5,poem,neg,terrible,3
anon-15,social,6,recital,neg,bad,3
anon-15,both,7,dance,pos,good,4
anon-15,no_goal,8,monologue,neg,terrible,3
anon-15,informative,9,app,pos,bad,1
anon-15,no_goal,10,app,neg,okay,2
anon-15,informative,11,painting,neg,terrible,3
anon-15,informative,12,presentation,pos,amazing,5
anon-15,no_goal,13,poem,pos,bad,2
anon-15,informative,14,song,neg,bad,3
anon-15,social,15,painting,pos,okay,3
anon-15,both,16,app,pos,amazing,5
anon-15,informative,17,review,neg,okay,2
anon-15,social,18,monologue,neg,amazing,3
anon-15,no_goal,19,solo,pos,good,4
anon-15,both,20,song,neg,amazing,3
anon-15,no_goal,21,recital,pos,okay,3
anon-15,social,22,cake,pos,terrible,1
anon-15,no_goal,23,cake,neg,amazing,3
anon-15,both,24,film,neg,terrible,3
anon-15,social,25,review,pos,amazing,3
anon-15,informative,26,poem,neg,good,3
anon-15,no_goal,27,cookie,pos,amazing,4
anon-15,both,28,painting,neg,good,1
anon-15,both,29,presentation,neg,okay,2
anon-15,informative,30,cake,pos,good,4
anon-15,social,31,cookie,neg,good,2
anon-15,both,32,solo,pos,terrible,1
anon-15,both,33,cookie,pos,bad,2
anon-15,both,34,cake,neg,bad,3
anon-15,informative,35,recital,neg,amazing,3
anon-15,no_goal,36,dance,neg,bad,2
anon-15,no_goal,37,review,pos,terrible,1
anon-15,social,38,presentation,pos,bad,3
anon-15,no_goal,39,film,neg,good,3
anon-15,both,40,monologue,pos,okay,4
anon-16,informative,1,dance,neg,amazing,2
anon-16,social,2,solo,neg,good,1
anon-16,no_goal,3,presentation,pos,good,4
anon-16,both,4,cake,neg,amazing,2
anon-16,informative,5,monologue,pos,amazing,5
anon-16,social,6,presentation,neg,okay,2
anon-16,both,7,presentation,pos,terrible,1
anon-16,informative,8,recital,pos,terrible,1
anon-16,social,9,cookie,pos,terrible,1
anon-16,both,10,cookie,neg,bad,3
anon-16,both,11,app,neg,good,2
anon-16,no_goal,12,painting,pos,terrible,1
anon-16,social,13,song,neg,terrible,2
anon-16,informative,14,cookie,pos,good,4
anon-16,no_goal,15,recital,neg,bad,3
anon-16,informative,16,painting,neg,okay,2
anon-16,no_goal,17,song,pos,bad,2
anon-16,informative,18,poem,pos,bad,2
anon-16,both,19,review,neg,terrible,3
anon-16,informative,20,review,pos,okay,3
anon-16,no_goal,21,cookie,neg,amazing,2
anon-16,informative,22,song,neg,good,2
anon-16,both,23,film,pos,okay,3
anon-16,no_goal,24,solo,pos,amazing,5
anon-16,social,25,cake,pos,good,3
anon-16,both,26,monologue,neg,okay,2
anon-16,both,27,recital,pos,good,4
anon-16,no_goal,28,dance,pos,okay,3
anon-16,social,29,painting,pos,amazing,4
anon-16,informative,30,app,neg,terrible,2
anon-16,both,31,solo,pos,bad,2
anon-16,no_goal,32,poem,neg,okay,2
anon-16,social,33,monologue,pos,bad,2
anon-16,informative,34,cake,neg,bad,3
anon-16,social,35,app,pos,okay,2
anon-16,both,36,poem,pos,amazing,5
anon-16,no_goal,37,review,neg,good,2
anon-16,social,38,film,neg,amazing,3
anon-16,no_goal,39,film,neg,terrible,2
anon-16,social,40,dance,neg,bad,2
anon-17,both,1,dance,pos,terrible,2
anon-17,no_goal,2,dance,pos,good,3
anon-17,no_goal,3,poem,neg,terrible,3
anon-17,no_goal,4,monologue,neg,bad,3
anon-17,no_goal,5,presentation,pos,amazing,4
anon-17,no_goal,6,recital,pos,terrible,2
anon-17,informative,7,cookie,pos,bad,2
anon-17,both,8,review,neg,amazing,3
anon-17,social,9,solo,neg,terrible,3
anon-17,informative,10,monologue,pos,terrible,1
anon-17,social,11,poem,neg,amazing,3
anon-17,social,12,review,pos,good,4
anon-17,no_goal,13,film,pos,okay,3
anon-17,informative,14,film,neg,amazing,3
anon-17,no_goal,15,solo,pos,bad,2
anon-17,both,16,painting,neg,okay,2
anon-17,social,17,painting,pos,bad,2
anon-17,both,18,poem,pos,okay,3
anon-17,both,19,song,neg,bad,3
anon-17,social,20,song,pos,terrible,2
anon-17,social,21,dance,neg,okay,2
anon-17,informative,22,app,neg,terrible,3
anon-17,social,23,app,pos,okay,3
anon-17,no_goal,24,song,neg,amazing,3
anon-17,both,25,cake,neg,terrible,3
anon-17,informative,26,song,pos,good,4
anon-17,informative,27,recital,neg,okay,2
anon-17,informative,28,solo,neg,good,2
anon-17,social,29,recital,pos,amazing,4
anon-17,both,30,presentation,pos,bad,2
anon-17,social,31,film,neg,bad,3
anon-17,informative,32,painting,pos,amazing,4
anon-17,no_goal,33,cookie,neg,okay,2
anon-17,both,34,monologue,pos,good,4
anon-17,no_goal,35,cake,neg,good,2
anon-17,both,36,cookie,pos,amazing,4
anon-17,both,37,app,neg,good,2
anon-17,informative,38,cake,pos,okay,3
anon-17,informative,39,review,neg,bad,3
anon-17,social,40,presentation,neg,good,2
anon-18,both,1,recital,pos,good,4
anon-18,social,2,poem,pos,terrible,1
anon-18,both,3,solo,pos,okay,3
anon-18,no_goal,4,cake,pos,good,4
anon-18,social,5,solo,neg,amazing,2
anon-18,informative,6,painting,neg,terrible,2
anon-18,informative,7,dance,neg,good,1
anon-18,informative,8,presentation,pos,okay,3
anon-18,informative,9,app,neg,okay,3
anon-18,social,10,cake,neg,okay,2
anon-18,no_goal,11,presentation,neg,good,2
anon-18,both,12,cookie,pos,amazing,5
anon-18,both,13,presentation,neg,terrible,3
anon-18,both,14,film,neg,amazing,1
anon-18,both,15,cake,pos,terrible,1
anon-18,no_goal,16,cookie,neg,okay,2
anon-18,both,17,painting,neg,good,2
anon-18,social,18,song,neg,bad,3
anon-18,informative,19,poem,pos,good,4
anon-18,no_goal,20,app,pos,terrible,1
anon-18,both,21,monologue,neg,okay,1
anon-18,no_goal,22,review,pos,amazing,5
anon-18,no_goal,23,poem,neg,amazing,1
anon-18,no_goal,24,recital,neg,bad,1
anon-18,social,25,monologue,pos,bad,1
anon-18,social,26,review,neg,good,3
anon-18,no_goal,27,dance,pos,bad,1
anon-18,both,28,poem,neg,bad,3
anon-18,informative,29,song,neg,amazing,3
anon-18,informative,30,recital,pos,terrible,1
anon-18,informative,31,monologue,pos,amazing,5
anon-18,informative,32,cookie,pos,bad,3
anon-18,no_goal,33,song,pos,okay,3
anon-18,social,34,painting,pos,okay,3
anon-18,social,35,film,pos,good,4
anon-18,social,36,app,pos,amazing,5
anon-18,no_goal,37,solo,neg,terrible,3
anon-18,informative,38,film,neg,bad,3
anon-18,social,39,dance,neg,terrible,3
anon-18,both,40,review,pos,bad,1
anon-19,social,1,song,neg,okay,1
anon-19,both,2,cookie,neg,bad,2
anon-19,social,3,solo,neg,amazing,2
anon-19,social,4,recital,pos,amazing,5
anon-19,informative,5,dance,pos,bad,1
anon-19,no_goal,6,film,pos,okay,3
anon-19,informative,7,poem,neg,terrible,2
anon-19,both,8,app,pos,good,4
anon-19,no_goal,9,painting,pos,bad,1
anon-19,informative,10,cake,pos,okay,3
anon-19,both,11,solo,pos,okay,3
anon-19,social,12,monologue,neg,good,1
anon-19,no_goal,13,solo,neg,terrible,2
anon-19,social,14,review,pos,good,4
anon-19,both,15,monologue,pos,bad,1
anon-19,both,16,poem,neg,good,2
anon-19,no_goal,17,app,neg,bad,2
anon-19,both,18,cake,neg,terrible,2
anon-19,social,19,film,neg,bad,2
anon-19,informative,20,recital,neg,okay,2
anon-19,informative,21,film,neg,amazing,2
anon-19,social,22,poem,pos,okay,3
anon-19,social,23,cookie,pos,terrible,1
anon-19,informative,24,app,pos,terrible,1
anon-19,social,25,painting,neg,terrible,2
anon-19,informative,26,cookie,pos,good,4
anon-19,no_goal,27,song,pos,good,4
anon-19,no_goal,28,monologue,pos,amazing,5
anon-19,social,29,presentation,pos,bad,1
anon-19,no_goal,30,cookie,neg,amazing,2
anon-19,both,31,song,pos,terrible,1
anon-19,both,32,presentation,neg,okay,2
anon-19,both,33,review,neg,amazing,2
anon-19,no_goal,34,cake,neg,good,2
anon-19,no_goal,35,dance,neg,okay,2
anon-19,both,36,dance,pos,amazing,5
anon-19,informative,37,review,neg,bad,2
anon-19,no_goal,38,recital,pos,terrible,1
anon-19,informative,39,painting,neg,good,2
anon-19,informative,40,presentation,pos,amazing,5
anon-2,social,1,cookie,neg,bad,3
anon-2,no_goal,2,dance,pos,terrible,1
anon-2,both,3,cake,neg,good,3
anon-2,no_goal,4,presentation,neg,amazing,3
anon-2,social,5,presentation,pos,terrible,2
anon-2,both,6,poem,pos,amazing,3
anon-2,both,7,song,pos,good,4
anon-2,both,8,monologue,neg,okay,2
anon-2,both,9,app,pos,okay,3
anon-2,both,10,recital,pos,terrible,1
anon-2,no_goal,11,solo,pos,amazing,4
anon-2,no_goal,12,recital,pos,good,3
anon-2,no_goal,13,song,neg,bad,3
anon-2,both,14,solo,pos,bad,2
anon-2,social,15,recital,neg,okay,3
anon-2,informative,16,review,neg,good,2
anon-2,no_goal,17,poem,neg,okay,3
anon-2,social,18,monologue,pos,bad,2
anon-2,informative,19,cookie,neg,amazing,2
anon-2,social,20,dance,pos,amazing,4
anon-2,no_goal,21,cookie,pos,okay,3
anon-2,informative,22,monologue,pos,amazing,5
anon-2,informative,23,dance,neg,okay,2
anon-2,no_goal,24,review,pos,bad,2
anon-2,both,25,film,neg,amazing,3
anon-2,informative,26,film,neg,bad,3
anon-2,informative,27,presentation,pos,good,3
anon-2,informative,28,song,pos,terrible,1
anon-2,no_goal,29,painting,neg,good,3
anon-2,both,30,presentation,neg,bad,3
anon-2,informative,31,poem,pos,bad,2
anon-2,social,32,review,neg,terrible,2
anon-2,social,33,solo,neg,good,2
anon-2,social,34,app,neg,amazing,3
anon-2,no_goal,35,app,neg,terrible,2
anon-2,social,36,cake,pos,okay,3
anon-2,informative,37,painting,pos,okay,3
anon-2,social,38,film,pos,good,3
anon-2,informative,39,cake,neg,terrible,2
anon-2,both,40,painting,neg,terrible,2
anon-20,social,1,presentation,neg,okay,2
anon-20,no_goal,2,song,neg,terrible,4
anon-20,no_goal,3,presentation,pos,good,5
anon-20,no_goal,4,monologue,neg,bad,3
anon-20,social,5,cake,pos,good,2
anon-20,both,6,solo,neg,bad,3
anon-20,both,7,recital,neg,okay,2
anon-20,informative,8,review,neg,amazing,2
anon-20,social,9,solo,pos,terrible,1
anon-20,informative,10,cookie,neg,terrible,3
anon-20,informative,11,painting,pos,okay,3
