"subid","utterance","predicted_state"
"30BXRY","okay",3
"30BXRY","amazing",3
"30BXRY","terrible",1
"30BXRY","bad",3
"30BXRY","good",2
"31LM9E","terrible",1
"31LM9E","okay",3
"31LM9E","amazing",5
"31LM9E","good",4
"31LM9E","bad",1
"326O15","good",4
"326O15","bad",2
"326O15","amazing",4
"326O15","okay",4
"326O15","terrible",3
"33NF62","terrible",4
"33NF62","amazing",2
"33NF62","okay",3
"33NF62","good",3
"33NF62","bad",1
"33PPO7","good",4
"33PPO7","bad",1
"33PPO7","okay",3
"33PPO7","amazing",5
"33PPO7","terrible",1
"34FNN2","bad",1
"34FNN2","good",4
"34FNN2","terrible",1
"34FNN2","okay",3
"34FNN2","amazing",5
"34Z02E","amazing",2
"34Z02E","terrible",4
"34Z02E","okay",3
"34Z02E","bad",5
"34Z02E","good",5
"35GMH2","bad",2
"35GMH2","good",4
"35GMH2","amazing",4
"35GMH2","okay",3
"35GMH2","terrible",1
"35K3O9","terrible",1
"35K3O9","amazing",5
"35K3O9","okay",2
"35K3O9","good",3
"35K3O9","bad",1
"369J35","amazing",3
"369J35","okay",2
"369J35","terrible",2
"369J35","bad",2
"369J35","good",2
"36U2A8","terrible",4
"36U2A8","okay",4
"36U2A8","amazing",4
"36U2A8","bad",3
"36U2A8","good",4
"37FMAS","bad",1
"37FMAS","good",4
"37FMAS","terrible",1
"37FMAS","amazing",5
"37FMAS","okay",3
"39PAAF","okay",2
"39PAAF","amazing",5
"39PAAF","terrible",1
"39PAAF","good",4
"39PAAF","bad",1
"39RP05","bad",1
"39RP05","good",5
"39RP05","terrible",2
"39RP05","amazing",2
"39RP05","okay",3
"3C6FJU","terrible",1
"3C6FJU","amazing",5
"3C6FJU","okay",3
"3C6FJU","good",4
"3C6FJU","bad",1
"3F1567","bad",1
"3F1567","good",4
"3F1567","amazing",5
"3F1567","terrible",1
"3F1567","okay",2
"3GGAI1","amazing",4
"3GGAI1","okay",3
"3GGAI1","terrible",1
"3GGAI1","good",4
"3GGAI1","bad",1
"3GNCZX","bad",1
"3GNCZX","good",2
"3GNCZX","okay",2
"3GNCZX","terrible",1
"3GNCZX","amazing",1
"3M0NZ3","okay",1
"3M0NZ3","terrible",1
"3M0NZ3","amazing",5
"3M0NZ3","good",4
"3M0NZ3","bad",1
"3O6CYI","terrible",2
"3O6CYI","amazing",2
"3O6CYI","okay",3
"3O6CYI","bad",4
"3O6CYI","good",2
"3P529I","amazing",5
"3P529I","okay",3
"3P529I","terrible",1
"3P529I","bad",2
"3P529I","good",3
"3R9WAS","bad",2
"3R9WAS","good",4
"3R9WAS","terrible",3
"3R9WAS","okay",3
"3R9WAS","amazing",5
"3TVSS0","bad",2
"3TVSS0","good",2
"3TVSS0","amazing",3
"3TVSS0","terrible",2
"3TVSS0","okay",2
"3TY7ZA","good",4
"3TY7ZA","bad",1
"3TY7ZA","amazing",5
"3TY7ZA","okay",4
"3TY7ZA","terrible",4
"3VAR3R","good",3
"3VAR3R","bad",4
"3VAR3R","amazing",5
"3VAR3R","okay",3
"3VAR3R","terrible",1
"3VE8AY","good",3
"3VE8AY","bad",1
"3VE8AY","amazing",5
"3VE8AY","terrible",1
"3VE8AY","okay",3
"3Z2R0D","bad",1
"3Z2R0D","good",4
"3Z2R0D","amazing",5
"3Z2R0D","okay",3
"3Z2R0D","terrible",1
"3Z2R0D","bad",1
"3Z2R0D","good",3
"3Z2R0D","terrible",1
"3Z2R0D","okay",2
"3Z2R0D","amazing",5
"30BXRY","okay",3
"30BXRY","amazing",3
"30BXRY","terrible",1
"30BXRY","bad",3
"30BXRY","good",2
"31LM9E","terrible",1
"31LM9E","okay",3
"31LM9E","amazing",5
"31LM9E","good",4
"31LM9E","bad",1
"326O15","good",4
"326O15","bad",2
"326O15","amazing",4
"326O15","okay",4
"326O15","terrible",3
"33NF62","terrible",4
"33NF62","amazing",2
"33NF62","okay",3
"33NF62","good",3
"33NF62","bad",1
"33PPO7","good",4
"33PPO7","bad",1
"33PPO7","okay",3
"33PPO7","amazing",5
"33PPO7","terrible",1
"34FNN2","bad",1
"34FNN2","good",4
"34FNN2","terrible",1
"34FNN2","okay",3
"34FNN2","amazing",5
"34Z02E","amazing",2
"34Z02E","terrible",4
"34Z02E","okay",3
"34Z02E","bad",5
"34Z02E","good",5
"35GMH2","bad",2
"35GMH2","good",4
"35GMH2","amazing",4
"35GMH2","okay",3
"35GMH2","terrible",1
"35K3O9","terrible",1
"35K3O9","amazing",5
"35K3O9","okay",2
"35K3O9","good",3
"35K3O9","bad",1
"369J35","amazing",3
"369J35","okay",2
"369J35","terrible",2
"369J35","bad",2
"369J35","good",2
"36U2A8","terrible",4
"36U2A8","okay",4
"36U2A8","amazing",4
"36U2A8","bad",3
"36U2A8","good",4
"37FMAS","bad",1
"37FMAS","good",4
"37FMAS","terrible",1
"37FMAS","amazing",5
"37FMAS","okay",3
"39PAAF","okay",2
"39PAAF","amazing",5
"39PAAF","terrible",1
"39PAAF","good",4
"39PAAF","bad",1
"39RP05","bad",1
"39RP05","good",5
"39RP05","terrible",2
"39RP05","amazing",2
"39RP05","okay",3
"3C6FJU","terrible",1
"3C6FJU","amazing",5
"3C6FJU","okay",3
"3C6FJU","good",4
"3C6FJU","bad",1
"3F1567","bad",1
"3F1567","good",4
"3F1567","amazing",5
"3F1567","terrible",1
"3F1567","okay",2
"3GGAI1","amazing",4
"3GGAI1","okay",3
"3GGAI1","terrible",1
"3GGAI1","good",4
"3GGAI1","bad",1
"3GNCZX","bad",1
"3GNCZX","good",2
"3GNCZX","okay",2
"3GNCZX","terrible",1
"3GNCZX","amazing",1
"3M0NZ3","okay",1
"3M0NZ3","terrible",1
"3M0NZ3","amazing",5
"3M0NZ3","good",4
"3M0NZ3","bad",1
"3O6CYI","terrible",2
"3O6CYI","amazing",2
"3O6CYI","okay",3
"3O6CYI","bad",4
"3O6CYI","good",2
"3P529I","amazing",5
"3P529I","okay",3
"3P529I","terrible",1
"3P529I","bad",2
"3P529I","good",3
"3R9WAS","bad",2
"3R9WAS","good",4
"3R9WAS","terrible",3
"3R9WAS","okay",3
"3R9WAS","amazing",5
"3TVSS0","bad",2
"3TVSS0","good",2
"3TVSS0","amazing",3
"3TVSS0","terrible",2
"3TVSS0","okay",2
"3TY7ZA","good",4
"3TY7ZA","bad",1
"3TY7ZA","amazing",5
"3TY7ZA","okay",4
"3TY7ZA","terrible",4
"3VAR3R","good",3
"3VAR3R","bad",4
"3VAR3R","amazing",5
"3VAR3R","okay",3
"3VAR3R","terrible",1
"3VE8AY","good",3
"3VE8AY","bad",1
"3VE8AY","amazing",5
"3VE8AY","terrible",1
"3VE8AY","okay",3
"3Z2R0D","bad",1
"3Z2R0D","good",4
"3Z2R0D","amazing",5
"3Z2R0D","okay",3
"3Z2R0D","terrible",1
"3Z2R0D","bad",1
"3Z2R0D","good",3
"3Z2R0D","terrible",1
"3Z2R0D","okay",2
"3Z2R0D","amazing",5
